"","Date","Open","High","Low","Close","Adj.Close","Volume"
"1","2022-07-25",272.216675,274.146667,267.399994,268.433319,268.433319,64073400
"2","2022-07-26",266.513336,267.309998,256.263336,258.859985,258.859985,66820800
"3","2022-07-27",263.809998,275.926666,261.790009,274.820007,274.820007,88110000
"4","2022-07-28",280.066681,283.299988,272.799988,280.899994,280.899994,84723000
"5","2022-07-29",280.700012,298.320007,279.100006,297.149994,297.149994,95313000
"6","2022-08-01",301.276672,311.876678,295,297.276672,297.276672,117042900
"7","2022-08-02",294.003326,307.833344,292.666656,300.58667,300.58667,95577600
"8","2022-08-03",305,309.549988,301.149994,307.396667,307.396667,80091000
"9","2022-08-04",311,313.606659,305,308.633331,308.633331,72256200
"10","2022-08-05",302.670013,304.606659,285.543335,288.170013,288.170013,113172900
"11","2022-08-08",295,305.200012,289.08667,290.42334,290.42334,98994000
"12","2022-08-09",290.293335,292.396667,279.353333,283.333344,283.333344,86244600
"13","2022-08-10",297.066681,297.51001,283.369995,294.356659,294.356659,94918800
"14","2022-08-11",296.513336,298.236664,285.833344,286.630005,286.630005,70155000
"15","2022-08-12",289.416656,300.160004,285.033325,300.029999,300.029999,79657200
"16","2022-08-15",301.786682,313.133331,301.230011,309.320007,309.320007,89359200
"17","2022-08-16",311.666656,314.666656,302.883331,306.563324,306.563324,88136400
"18","2022-08-17",303.396667,309.656677,300.033325,303.996674,303.996674,68766000
"19","2022-08-18",306,306.5,301.853333,302.869995,302.869995,47500500
"20","2022-08-19",299,300.359985,292.5,296.666656,296.666656,61395300
"21","2022-08-22",291.91333,292.399994,286.296661,289.91333,289.91333,55843200
"22","2022-08-23",291.453339,298.82666,287.92334,296.453339,296.453339,63984900
"23","2022-08-24",297.563324,303.646667,296.5,297.09668,297.09668,57259800
"24","2022-08-25",302.359985,302.959991,291.600006,296.070007,296.070007,53230000
"25","2022-08-26",297.429993,302,287.470001,288.089996,288.089996,57163900
"26","2022-08-29",282.829987,287.73999,280.700012,284.820007,284.820007,41864700
"27","2022-08-30",287.869995,288.480011,272.649994,277.700012,277.700012,50541800
"28","2022-08-31",280.619995,281.25,271.809998,275.609985,275.609985,52107300
"29","2022-09-01",272.579987,277.579987,266.149994,277.160004,277.160004,54287000
"30","2022-09-02",281.070007,282.350006,269.079987,270.209991,270.209991,50890100
"31","2022-09-06",272.679993,275.98999,265.73999,274.420013,274.420013,55860000
"32","2022-09-07",273.100006,283.839996,272.269989,283.700012,283.700012,50028900
"33","2022-09-08",281.299988,289.5,279.76001,289.26001,289.26001,53713100
"34","2022-09-09",291.670013,299.850006,291.25,299.679993,299.679993,54338100
"35","2022-09-12",300.720001,305.48999,300.399994,304.420013,304.420013,48674600
"36","2022-09-13",292.899994,297.399994,290.399994,292.130005,292.130005,68229600
"37","2022-09-14",292.23999,306,291.640015,302.609985,302.609985,72628700
"38","2022-09-15",301.829987,309.119995,300.720001,303.75,303.75,64795500
"39","2022-09-16",299.609985,303.709991,295.600006,303.350006,303.350006,87087800
"40","2022-09-19",300.089996,309.839996,297.799988,309.070007,309.070007,60231200
"41","2022-09-20",306.910004,313.329987,305.579987,308.730011,308.730011,61642800
"42","2022-09-21",308.290009,313.799988,300.630005,300.799988,300.799988,62555700
"43","2022-09-22",299.859985,301.290009,285.820007,288.589996,288.589996,70545400
"44","2022-09-23",283.089996,284.5,272.820007,275.329987,275.329987,63748400
"45","2022-09-26",271.829987,284.089996,270.309998,276.01001,276.01001,58076900
"46","2022-09-27",283.839996,288.670013,277.51001,282.940002,282.940002,61925200
"47","2022-09-28",283.079987,289,277.570007,287.809998,287.809998,54664800
"48","2022-09-29",282.76001,283.649994,265.779999,268.209991,268.209991,77620600
"49","2022-09-30",266.149994,275.570007,262.470001,265.25,265.25,67726600
"50","2022-10-03",254.5,255.160004,241.009995,242.399994,242.399994,98363500
"51","2022-10-04",250.520004,257.5,242.009995,249.440002,249.440002,109578500
"52","2022-10-05",245.009995,246.669998,233.270004,240.809998,240.809998,86982700
"53","2022-10-06",239.440002,244.580002,235.350006,238.130005,238.130005,69298400
"54","2022-10-07",233.940002,234.570007,222.020004,223.070007,223.070007,83916800
"55","2022-10-10",223.929993,226.990005,218.360001,222.960007,222.960007,67925000
"56","2022-10-11",220.949997,225.75,215,216.5,216.5,77013200
"57","2022-10-12",215.330002,219.300003,211.509995,217.240005,217.240005,66860700
"58","2022-10-13",208.300003,222.990005,206.220001,221.720001,221.720001,91483000
"59","2022-10-14",224.009995,226.259995,204.160004,204.990005,204.990005,94124500
"60","2022-10-17",210.039993,221.860001,209.449997,219.350006,219.350006,79428800
"61","2022-10-18",229.5,229.820007,217.25,220.190002,220.190002,75891900
"62","2022-10-19",219.800003,222.929993,217.779999,222.039993,222.039993,66571500
"63","2022-10-20",208.279999,215.550003,202,207.279999,207.279999,117798100
"64","2022-10-21",206.419998,214.660004,203.800003,214.440002,214.440002,75713800
"65","2022-10-24",205.820007,213.5,198.589996,211.25,211.25,100446800
"66","2022-10-25",210.100006,224.350006,210,222.419998,222.419998,96507900
"67","2022-10-26",219.399994,230.600006,218.199997,224.639999,224.639999,85012500
"68","2022-10-27",229.770004,233.809998,222.850006,225.089996,225.089996,61638800
"69","2022-10-28",225.399994,228.860001,216.350006,228.520004,228.520004,69152400
"70","2022-10-31",226.190002,229.850006,221.940002,227.539993,227.539993,61554300
"71","2022-11-01",234.050003,237.399994,227.279999,227.820007,227.820007,62688800
"72","2022-11-02",226.039993,227.869995,214.820007,214.979996,214.979996,63070300
"73","2022-11-03",211.360001,221.199997,210.139999,215.309998,215.309998,56538800
"74","2022-11-04",222.600006,223.800003,203.080002,207.470001,207.470001,98622200
"75","2022-11-07",208.649994,208.899994,196.660004,197.080002,197.080002,93916500
"76","2022-11-08",194.020004,195.199997,186.75,191.300003,191.300003,128803400
"77","2022-11-09",190.779999,195.889999,177.119995,177.589996,177.589996,127062700
"78","2022-11-10",189.899994,191,180.029999,190.720001,190.720001,132703000
"79","2022-11-11",186,196.520004,182.589996,195.970001,195.970001,114403600
"80","2022-11-14",192.770004,195.729996,186.339996,190.949997,190.949997,92226600
"81","2022-11-15",195.880005,200.820007,192.059998,194.419998,194.419998,91293800
"82","2022-11-16",191.509995,192.570007,185.660004,186.919998,186.919998,66567600
"83","2022-11-17",183.960007,186.160004,180.899994,183.169998,183.169998,64336000
"84","2022-11-18",185.050003,185.190002,176.550003,180.190002,180.190002,76048900
"85","2022-11-21",175.850006,176.770004,167.539993,167.869995,167.869995,92882700
"86","2022-11-22",168.630005,170.919998,166.190002,169.910004,169.910004,78452300
"87","2022-11-23",173.570007,183.619995,172.5,183.199997,183.199997,109536700
"88","2022-11-25",185.059998,185.199997,180.630005,182.860001,182.860001,50672700
"89","2022-11-28",179.960007,188.5,179,182.919998,182.919998,92905200
"90","2022-11-29",184.990005,186.380005,178.75,180.830002,180.830002,83357100
"91","2022-11-30",182.429993,194.759995,180.630005,194.699997,194.699997,109186400
"92","2022-12-01",197.080002,198.919998,191.800003,194.699997,194.699997,80046200
"93","2022-12-02",191.779999,196.25,191.110001,194.860001,194.860001,73645900
"94","2022-12-05",189.440002,191.270004,180.550003,182.449997,182.449997,93122700
"95","2022-12-06",181.220001,183.649994,175.330002,179.820007,179.820007,92150800
"96","2022-12-07",175.029999,179.380005,172.220001,174.039993,174.039993,84213300
"97","2022-12-08",172.199997,175.199997,169.059998,173.440002,173.440002,97624500
"98","2022-12-09",173.839996,182.5,173.360001,179.050003,179.050003,104872300
"99","2022-12-12",176.100006,177.369995,167.520004,167.820007,167.820007,109794500
"100","2022-12-13",174.869995,175.050003,156.910004,160.949997,160.949997,175862700
"101","2022-12-14",159.25,161.619995,155.309998,156.800003,156.800003,140682300
"102","2022-12-15",153.440002,160.929993,153.279999,157.669998,157.669998,122334500
"103","2022-12-16",159.639999,160.990005,150.039993,150.229996,150.229996,139032200
"104","2022-12-19",154,155.25,145.820007,149.869995,149.869995,139390600
"105","2022-12-20",146.050003,148.470001,137.660004,137.800003,137.800003,159563300
"106","2022-12-21",139.339996,141.259995,135.889999,137.570007,137.570007,145417400
"107","2022-12-22",136,136.630005,122.260002,125.349998,125.349998,210090300
"108","2022-12-23",126.370003,128.619995,121.019997,123.150002,123.150002,166989700
"109","2022-12-27",117.5,119.669998,108.760002,109.099998,109.099998,208643400
"110","2022-12-28",110.349998,116.269997,108.239998,112.709999,112.709999,221070500
"111","2022-12-29",120.389999,123.57,117.5,121.82,121.82,221923300
"112","2022-12-30",119.949997,124.480003,119.75,123.18,123.18,157304500
"113","2023-01-03",118.470001,118.800003,104.639999,108.099998,108.099998,231402800
"114","2023-01-04",109.110001,114.589996,107.519997,113.639999,113.639999,180389000
"115","2023-01-05",110.510002,111.75,107.160004,110.339996,110.339996,157986300
"116","2023-01-06",103,114.389999,101.809998,113.059998,113.059998,220575900
"117","2023-01-09",118.959999,123.519997,117.110001,119.769997,119.769997,190284000
"118","2023-01-10",121.07,122.760002,114.919998,118.849998,118.849998,167642500
"119","2023-01-11",122.089996,125.949997,120.510002,123.220001,123.220001,183810800
"120","2023-01-12",122.559998,124.129997,117,123.559998,123.559998,169400900
"121","2023-01-13",116.550003,122.629997,115.599998,122.400002,122.400002,180439300
"122","2023-01-17",125.699997,131.699997,125.019997,131.490005,131.490005,186477000
"123","2023-01-18",136.559998,136.679993,127.010002,128.779999,128.779999,195680300
"124","2023-01-19",127.260002,129.990005,124.309998,127.169998,127.169998,170291900
"125","2023-01-20",128.679993,133.509995,127.349998,133.419998,133.419998,138429900
"126","2023-01-23",135.869995,145.380005,134.270004,143.75,143.75,203119200
"127","2023-01-24",143,146.5,141.100006,143.889999,143.889999,158699100
